i,im[i]= 0 10
i,im[i]= 1 2
i,im[i]= 2 3
i,im[i]= 3 7
i,im[i]= 4 12
i,im[i]= 5 19
i,im[i]= 6 2
i,im[i]= 7 1
i,im[i]= 8 3
i,im[i]= 9 2
i,im[i]= 10 1
i,im[i]= 11 2
i,im[i]= 12 2
i,im[i]= 13 2
i,im[i]= 14 4
i,im[i]= 15 7
i,im[i]= 16 13
i,im[i]= 17 18
i,im[i]= 18 66
i,im[i]= 19 16
i,im[i]= 20 14
i,im[i]= 21 6
i,im[i]= 22 6
i,im[i]= 23 8
i,im[i]= 24 13
i,im[i]= 25 8
i,im[i]= 26 11
i,im[i]= 27 17
i,im[i]= 28 11
i,im[i]= 29 9
i,im[i]= 30 12
i,im[i]= 31 18
i,im[i]= 32 10
i,im[i]= 33 13
i,im[i]= 34 10
i,im[i]= 35 14
i,im[i]= 36 20
i,im[i]= 37 11
i,im[i]= 38 14
i,im[i]= 39 19
i,im[i]= 40 13
i,im[i]= 41 14
ic,j,angleg[ic][j]= 29 7 5.798613e+000
ic,j,angleg[ic][j]= 29 8 6.139994e+000
ic,j,angleg[ic][j]= 30 0 3.035145e-002
ic,j,angleg[ic][j]= 30 1 4.454218e-002
ic,j,angleg[ic][j]= 30 2 2.807876e-001
ic,j,angleg[ic][j]= 30 3 3.211619e-001
ic,j,angleg[ic][j]= 30 4 5.003168e-001
ic,j,angleg[ic][j]= 30 5 6.351607e-001
ic,j,angleg[ic][j]= 30 6 6.490083e-001
ic,j,angleg[ic][j]= 30 7 7.741650e-001
ic,j,angleg[ic][j]= 30 8 3.259619e+000
ic,j,angleg[ic][j]= 30 9 3.933028e+000
ic,j,angleg[ic][j]= 30 10 4.050512e+000
ic,j,angleg[ic][j]= 30 11 4.141615e+000
ic,j,angleg[ic][j]= 31 0 5.386405e-001
ic,j,angleg[ic][j]= 31 1 8.341413e-001
ic,j,angleg[ic][j]= 31 2 8.608004e-001
ic,j,angleg[ic][j]= 31 3 8.879824e-001
ic,j,angleg[ic][j]= 31 4 1.094634e+000
ic,j,angleg[ic][j]= 31 5 1.113496e+000
ic,j,angleg[ic][j]= 31 6 2.742995e+000
ic,j,angleg[ic][j]= 31 7 3.695828e+000
ic,j,angleg[ic][j]= 31 8 3.915344e+000
ic,j,angleg[ic][j]= 31 9 4.153140e+000
ic,j,angleg[ic][j]= 31 10 4.229604e+000
ic,j,angleg[ic][j]= 31 11 4.612862e+000
ic,j,angleg[ic][j]= 31 12 4.671909e+000
ic,j,angleg[ic][j]= 31 13 5.206412e+000
ic,j,angleg[ic][j]= 31 14 5.242366e+000
ic,j,angleg[ic][j]= 31 15 6.012760e+000
ic,j,angleg[ic][j]= 31 16 6.050317e+000
ic,j,angleg[ic][j]= 31 17 6.098819e+000
ic,j,angleg[ic][j]= 32 0 3.417503e-001
ic,j,angleg[ic][j]= 32 1 2.354494e+000
ic,j,angleg[ic][j]= 32 2 2.393040e+000
ic,j,angleg[ic][j]= 32 3 2.407793e+000
ic,j,angleg[ic][j]= 32 4 2.439234e+000
ic,j,angleg[ic][j]= 32 5 3.956498e+000
ic,j,angleg[ic][j]= 32 6 5.406123e+000
ic,j,angleg[ic][j]= 32 7 5.419429e+000
ic,j,angleg[ic][j]= 32 8 5.460893e+000
ic,j,angleg[ic][j]= 32 9 5.474326e+000
ic,j,angleg[ic][j]= 33 0 1.418020e+000
ic,j,angleg[ic][j]= 33 1 1.430876e+000
ic,j,angleg[ic][j]= 33 2 1.497752e+000
ic,j,angleg[ic][j]= 33 3 1.515099e+000
ic,j,angleg[ic][j]= 33 4 1.534987e+000
ic,j,angleg[ic][j]= 33 5 1.559275e+000
ic,j,angleg[ic][j]= 33 6 3.453376e+000
ic,j,angleg[ic][j]= 33 7 5.286075e+000
ic,j,angleg[ic][j]= 33 8 5.288964e+000
ic,j,angleg[ic][j]= 33 9 5.307439e+000
ic,j,angleg[ic][j]= 33 10 5.349314e+000
ic,j,angleg[ic][j]= 33 11 5.431960e+000
ic,j,angleg[ic][j]= 33 12 5.554398e+000
ic,j,angleg[ic][j]= 34 0 4.573079e-001
ic,j,angleg[ic][j]= 34 1 4.625699e-001
ic,j,angleg[ic][j]= 34 2 4.712969e-001
ic,j,angleg[ic][j]= 34 3 4.839160e-001
ic,j,angleg[ic][j]= 34 4 4.840896e-001
ic,j,angleg[ic][j]= 34 5 3.341109e+000
ic,j,angleg[ic][j]= 34 6 4.458242e+000
ic,j,angleg[ic][j]= 34 7 4.615695e+000
ic,j,angleg[ic][j]= 34 8 5.548821e+000
ic,j,angleg[ic][j]= 34 9 6.248503e+000
ic,j,angleg[ic][j]= 35 0 4.105623e-001
ic,j,angleg[ic][j]= 35 1 6.347062e-001
ic,j,angleg[ic][j]= 35 2 6.617205e-001
ic,j,angleg[ic][j]= 35 3 1.537298e+000
ic,j,angleg[ic][j]= 35 4 1.667714e+000
ic,j,angleg[ic][j]= 35 5 2.180003e+000
ic,j,angleg[ic][j]= 35 6 2.292108e+000
ic,j,angleg[ic][j]= 35 7 2.533837e+000
ic,j,angleg[ic][j]= 35 8 3.057329e+000
ic,j,angleg[ic][j]= 35 9 5.442105e+000
ic,j,angleg[ic][j]= 35 10 5.494520e+000
ic,j,angleg[ic][j]= 35 11 5.750243e+000
ic,j,angleg[ic][j]= 35 12 5.782327e+000
ic,j,angleg[ic][j]= 35 13 6.167412e+000
ic,j,angleg[ic][j]= 36 0 1.756284e-001
ic,j,angleg[ic][j]= 36 1 2.428683e+000
ic,j,angleg[ic][j]= 36 2 2.464902e+000
ic,j,angleg[ic][j]= 36 3 2.493746e+000
ic,j,angleg[ic][j]= 36 4 2.511146e+000
ic,j,angleg[ic][j]= 36 5 2.516147e+000
ic,j,angleg[ic][j]= 36 6 2.523724e+000
ic,j,angleg[ic][j]= 36 7 2.535241e+000
ic,j,angleg[ic][j]= 36 8 2.538331e+000
ic,j,angleg[ic][j]= 36 9 2.539177e+000
ic,j,angleg[ic][j]= 36 10 2.549106e+000
ic,j,angleg[ic][j]= 36 11 2.551359e+000
